Loss,Loss1,Loss2,Theta,Grad
2.146359815,2.146360743,2.146358887,0.084147098,-0.009278252
2.146359815,2.146358925,2.146360705,0.090929743,0.00889912
2.146359815,2.146360651,2.146358979,0.014112001,-0.008360108
2.146359815,2.146359052,2.146360578,-0.07568025,0.007628136
2.146359815,2.14636049,2.14635914,-0.095892427,-0.006747984
2.146359815,2.146361495,2.146358141,-0.02794155,-0.01676798
2.146359815,2.146355875,2.146363761,0.06569866,0.039433483
2.146359815,2.146353884,2.146365752,0.098935825,0.059335556
2.146359815,2.146357342,2.146362294,0.041211849,0.024764097
2.146359815,2.146363087,2.146356549,-0.054402111,-0.032688143
2.146359815,2.146365835,2.146353801,-0.099999021,-0.060174472
2.146359815,2.146363014,2.146356622,-0.053657292,-0.031961229
2.146359815,2.146357326,2.14636231,0.042016704,0.024922553
2.146359815,2.146353841,2.146365795,0.099060736,0.059771762
2.146359815,2.146355954,2.146363682,0.065028784,0.038641055
2.146359815,2.146361555,2.146358081,-0.028790332,-0.017370465
2.146359815,2.146365575,2.146354061,-0.096139749,-0.057565867
2.146359815,2.146364338,2.146355298,-0.075098725,-0.045196385
2.146359815,2.146358903,2.146360733,0.014987721,0.00914588
2.146359815,2.146354357,2.146365279,0.091294525,0.054610155
2.146359815,2.146328362,2.146391271,0.084147098,0.31454497
2.146359815,2.146348711,2.146370922,0.090929743,0.111056588
2.146359815,2.146350076,2.146369556,0.014112001,0.097400697
2.146359815,2.14634795,2.146371687,-0.07568025,0.118682669
2.146359815,2.146359815,2.146359822,-0.095892427,3.82E-05
2.146359815,2.146356449,2.146363188,-0.02794155,0.033692656
2.146359815,2.14633942,2.146380217,0.06569866,0.203987128
2.146359815,2.146348104,2.146371533,0.098935825,0.117148233
2.146359815,2.14635227,2.146367366,0.041211849,0.075480126
2.146359815,2.146347249,2.146372388,-0.054402111,0.125698067
2.146359815,2.146360226,2.146359411,-0.099999021,-0.004075883
2.146359815,2.146358122,2.146361515,-0.053657292,0.016967709
2.146359815,2.146342185,2.146377452,0.042016704,0.17633755
2.146359815,2.146348505,2.146371132,0.099060736,0.113133142
2.146359815,2.146351202,2.146368435,0.065028784,0.086162895
2.146359815,2.146346589,2.146373048,-0.028790332,0.132294136
2.146359815,2.146360271,2.146359365,-0.096139749,-0.004529644
2.146359815,2.146359668,2.146359968,-0.075098725,0.001500484
